utilization.gpu [%], memory.used [MiB], memory.total [MiB]
30 %, 3350 MiB, 40960 MiB
48 %, 3372 MiB, 40960 MiB
0 %, 23968 MiB, 40960 MiB
0 %, 0 MiB, 40960 MiB
41 %, 3350 MiB, 40960 MiB
33 %, 3372 MiB, 40960 MiB
68 %, 23968 MiB, 40960 MiB
0 %, 38828 MiB, 40960 MiB
33 %, 3350 MiB, 40960 MiB
44 %, 3372 MiB, 40960 MiB
0 %, 23968 MiB, 40960 MiB
61 %, 38828 MiB, 40960 MiB
49 %, 3350 MiB, 40960 MiB
10 %, 3372 MiB, 40960 MiB
57 %, 23968 MiB, 40960 MiB
59 %, 38828 MiB, 40960 MiB
25 %, 3350 MiB, 40960 MiB
37 %, 3372 MiB, 40960 MiB
26 %, 23968 MiB, 40960 MiB
59 %, 38828 MiB, 40960 MiB
28 %, 3350 MiB, 40960 MiB
48 %, 3372 MiB, 40960 MiB
49 %, 23968 MiB, 40960 MiB
66 %, 38828 MiB, 40960 MiB
32 %, 3350 MiB, 40960 MiB
47 %, 3372 MiB, 40960 MiB
21 %, 23968 MiB, 40960 MiB
67 %, 38828 MiB, 40960 MiB
40 %, 3350 MiB, 40960 MiB
48 %, 3372 MiB, 40960 MiB
69 %, 23968 MiB, 40960 MiB
66 %, 38828 MiB, 40960 MiB
41 %, 3350 MiB, 40960 MiB
48 %, 3372 MiB, 40960 MiB
0 %, 23968 MiB, 40960 MiB
74 %, 38828 MiB, 40960 MiB
39 %, 3350 MiB, 40960 MiB
35 %, 3372 MiB, 40960 MiB
0 %, 23968 MiB, 40960 MiB
65 %, 38828 MiB, 40960 MiB
