Window_Idx	Start	End	Center	Pred_Label	Prob_Neu	Prob_Hard	Prob_Soft
0	346	2004	1380	NEUTRAL	1.0000	0.0000	0.0000
1	406	2068	1444	NEUTRAL	1.0000	0.0000	0.0000
2	451	2149	1516	NEUTRAL	1.0000	0.0000	0.0000
3	509	2271	1560	NEUTRAL	1.0000	0.0000	0.0000
4	623	2421	1619	NEUTRAL	1.0000	0.0000	0.0000
5	722	2496	1687	NEUTRAL	1.0000	0.0000	0.0000
6	854	2545	1738	NEUTRAL	1.0000	0.0000	0.0000
7	938	2622	1796	NEUTRAL	1.0000	0.0000	0.0000
8	1006	2674	1858	NEUTRAL	1.0000	0.0000	0.0000
9	1341	2721	1917	NEUTRAL	1.0000	0.0000	0.0000
10	1380	2782	2004	NEUTRAL	1.0000	0.0000	0.0000
11	1444	2818	2068	NEUTRAL	0.9967	0.0000	0.0032
12	1516	2871	2149	NEUTRAL	0.9985	0.0000	0.0015
13	1560	2938	2271	NEUTRAL	0.9916	0.0002	0.0082
14	1619	2978	2421	NEUTRAL	0.9947	0.0003	0.0051
15	1687	3099	2496	NEUTRAL	0.9952	0.0004	0.0044
16	1738	3168	2545	NEUTRAL	0.9981	0.0002	0.0017
17	1796	3237	2622	NEUTRAL	0.9949	0.0004	0.0047
18	1858	3327	2674	NEUTRAL	0.9993	0.0001	0.0006
19	1917	3399	2721	NEUTRAL	0.9909	0.0009	0.0082
20	2004	3476	2782	NEUTRAL	0.9821	0.0058	0.0121
21	2068	3509	2818	NEUTRAL	0.9596	0.0073	0.0331
22	2149	3561	2871	NEUTRAL	0.9880	0.0011	0.0108
23	2271	3635	2938	NEUTRAL	0.9604	0.0037	0.0359
24	2421	3683	2978	NEUTRAL	0.9658	0.0059	0.0283
25	2496	3777	3099	NEUTRAL	0.9944	0.0005	0.0051
26	2545	3837	3168	NEUTRAL	0.9957	0.0008	0.0035
27	2622	3901	3237	NEUTRAL	0.9970	0.0005	0.0025
28	2674	3963	3327	NEUTRAL	0.9989	0.0001	0.0009
29	2721	4019	3399	NEUTRAL	0.9987	0.0001	0.0012
30	2782	4129	3476	NEUTRAL	1.0000	0.0000	0.0000
31	2818	4226	3509	NEUTRAL	0.9970	0.0002	0.0028
32	2871	4293	3561	NEUTRAL	0.9991	0.0001	0.0008
33	2938	4408	3635	NEUTRAL	0.9943	0.0006	0.0051
34	2978	4612	3683	NEUTRAL	1.0000	0.0000	0.0000
35	3099	4728	3777	NEUTRAL	1.0000	0.0000	0.0000
36	3168	4809	3837	NEUTRAL	0.9999	0.0000	0.0001
37	3237	4932	3901	NEUTRAL	1.0000	0.0000	0.0000
38	3327	5007	3963	NEUTRAL	1.0000	0.0000	0.0000
39	3399	5096	4019	NEUTRAL	1.0000	0.0000	0.0000
40	3476	5169	4129	NEUTRAL	1.0000	0.0000	0.0000
41	3509	5247	4226	NEUTRAL	1.0000	0.0000	0.0000
42	3561	5318	4293	NEUTRAL	1.0000	0.0000	0.0000
43	3635	5401	4408	NEUTRAL	1.0000	0.0000	0.0000
44	3683	5503	4612	NEUTRAL	1.0000	0.0000	0.0000
45	3777	5647	4728	NEUTRAL	1.0000	0.0000	0.0000
46	3837	5754	4809	NEUTRAL	1.0000	0.0000	0.0000
47	3901	5806	4932	NEUTRAL	1.0000	0.0000	0.0000
48	3963	5875	5007	NEUTRAL	1.0000	0.0000	0.0000
49	4019	5943	5096	NEUTRAL	1.0000	0.0000	0.0000
50	4129	6018	5169	NEUTRAL	1.0000	0.0000	0.0000
51	4226	6069	5247	NEUTRAL	1.0000	0.0000	0.0000
52	4293	6151	5318	NEUTRAL	1.0000	0.0000	0.0000
53	4408	6274	5401	NEUTRAL	1.0000	0.0000	0.0000
